Fecha,CantidadML,Moneda
11/27/1999,32.48L,EUR 6130.0
"16, Junio, 1977",1425.52ml,$6938.82
31-02-1969,116.03ml,JPY 1372.7
13-10-2000,575.99L,EUR 3412.21
08/17/1944,941.79ml,¥8622.83
"May 7, 1921",626.2L,EUR 6074.0
"Feb 17, 1990",804.95ml,€7098.58
2020-12-27,8.04L,GBP 5366.62
1978-06-23,338.53ml,JPY 5478.37
01-01-1958,1598.06ml,$7512.93
17-09-1997,677.73ml,USD 3346.94
1923-10-20,1134.16L,GBP 1480.04
"11, Oct, 2017",1531.59L,£1417.73
"May 18, 1994",177.28L,GBP 6438.31
"Abril 30, 1985",1899.36L,¥2549.46
"15, Feb, 1993",1344.76L,GBP 8794.23
08/30/1977,1454.87ml,GBP 2044.65
"Dic 5, 1949",501.29ml,GBP 6383.25
"Septiembre 5, 1928",1783.93L,£342.6
1974-08-29,1150.63L,GBP 3464.67
"2, Enero, 1965",275.59ml,GBP 6504.45
03/31/1998,787.49L,EUR 4505.46
"Julio 23, 1954",1890.27L,£7503.56
"Octubre 2, 1902",142.29ml,€9688.42
"9, Mar, 1974",737.08ml,$1683.02
11/07/1958,1063.44ml,€9273.24
12-10-1986,1482.12ml,JPY 1243.9
02/03/1950,1352.12ml,USD 3698.48
01/21/1973,1650.52ml,EUR 2955.11
20-07-2016,1012.74L,$2365.71
"Abril 11, 2013",1330.49L,GBP 2416.17
12/22/1932,1120.76L,GBP 2914.83
12-09-1909,909.1ml,JPY 7667.47
08/08/2019,122.79ml,£8824.96
2000-09-14,598.05L,JPY 7331.72
1970-03-14,189.59ml,JPY 150.98
2010-05-15,1443.06L,JPY 4504.28
1984-04-03,1930.47L,€7058.81
06/24/2010,1022.88ml,JPY 8764.22
16-10-1927,1958.9ml,GBP 9781.85
02-11-1934,799.62ml,€3880.83
"Junio 11, 1924",1974.31ml,€7413.33
"9, Febrero, 2005",886.76L,¥3124.03
1937-09-21,577.47ml,JPY 222.83
12-01-1985,1331.74ml,¥4864.89
"Jun 22, 2002",1942.65L,GBP 140.77
"23, Jul, 2013",1541.41L,JPY 8954.33
1970-03-01,1752.0L,GBP 1363.74
05-03-1923,659.56L,GBP 8277.29
01/23/1988,784.93ml,¥7511.13
10/17/1959,912.09ml,USD 7686.38
"Febrero 13, 1912",1411.83ml,¥4354.42
21-01-1922,695.95ml,£3873.05
1917-07-09,603.02ml,£5722.93
"Noviembre 10, 1914",1855.0ml,£389.7
"Jun 14, 1971",63.25L,EUR 6728.25
"13, Febrero, 2012",432.55ml,£7772.48
"Marzo 14, 1978",722.34L,£5412.39
07-06-1962,602.04L,£6982.24
12-01-1973,103.46L,USD 7262.44
11/26/1909,717.05ml,£7547.55
"Abril 4, 1905",1055.99ml,$9952.79
"18, Agosto, 2018",1093.2L,USD 4190.87
02/31/1909,1176.6L,¥2049.38
11/26/1905,1543.33L,£4337.91
"Enero 15, 1921",464.79ml,$3560.8
1962-08-28,683.4L,$179.76
12/31/1918,633.74L,USD 664.71
1968-12-19,1498.68ml,GBP 3429.13
06/08/1983,767.95L,GBP 5894.5
21-08-1942,490.27ml,GBP 4822.5
2009-11-29,1369.25L,€4845.58
"Diciembre 28, 2002",1589.37L,EUR 9690.61
"Enero 17, 1987",1569.27L,EUR 5201.88
"Oct 16, 1910",331.55L,GBP 9056.4
"Dic 20, 1963",763.08ml,GBP 3069.76
"27, Ago, 1914",1535.29L,€3257.33
10-08-1999,432.47ml,EUR 6460.35
"16, Jul, 1907",701.53L,£2135.53
1904-02-29,1554.97ml,¥1791.47
02/09/1902,154.29ml,EUR 7078.23
"17, Agosto, 2010",22.16L,¥1780.17
1937-01-10,555.7ml,EUR 3945.94
2019-09-22,1974.25ml,$1681.68
1957-07-11,1562.65L,£1188.54
"23, Septiembre, 1925",67.03ml,¥7451.67
11/31/1943,1627.35L,¥5138.95
04/27/1960,1477.46L,JPY 9771.62
"Oct 25, 1945",117.4ml,EUR 8832.19
1997-08-24,1316.91L,$8320.99
07/23/1988,245.98L,USD 6623.67
04/21/1955,1598.05L,JPY 9390.51
1912-04-29,65.23ml,£1582.95
16-07-2015,1368.64L,USD 4168.17
06/10/1915,1308.47ml,¥9142.08
"Mar 7, 1996",125.04ml,£7272.01
24-10-1949,1155.17L,GBP 2982.66
"May 28, 2015",299.34L,€1605.17
1935-10-19,1057.46ml,€8530.83
1984-09-20,562.21ml,JPY 3581.27
"4, Junio, 1950",1948.76L,¥9263.67
"May 11, 1964",1394.56L,GBP 58.49
1926-05-15,1837.26L,GBP 963.91
11/26/1905,1411.54L,€6203.75
01/09/1973,1390.05L,¥2286.0
"1, Sep, 1977",1576.2ml,USD 2582.74
"Junio 31, 2013",837.96ml,£1883.21
"Mar 11, 1946",1187.8ml,€8287.09
1936-04-01,811.48L,EUR 752.49
1918-10-06,1831.84L,JPY 8590.06
15-10-1978,1608.85ml,USD 41.81
10/21/1972,718.63ml,EUR 7369.64
1946-02-09,1280.53ml,EUR 4067.83
05/27/1999,299.01ml,¥8123.11
"Oct 17, 1968",524.74L,¥5123.75
1928-05-26,355.68ml,€2358.61
"Junio 15, 1989",135.85L,$3615.94
"13, Enero, 1951",1248.95L,GBP 6057.09
"8, Abril, 1976",1721.48L,¥1790.86
1940-04-01,1483.11L,¥6600.42
02/08/2010,1647.1ml,GBP 1225.4
2025-04-31,1522.84ml,GBP 6570.42
2021-01-26,884.26L,GBP 8877.67
"Nov 26, 1934",1045.48ml,GBP 1222.88
23-02-1998,1969.26L,£1211.24
"27, Junio, 1980",189.16ml,GBP 1199.73
"Sep 10, 1910",510.62L,USD 5538.64
"12, Ago, 1952",1395.4ml,JPY 7223.51
17-01-2018,1952.05L,¥8269.09
"Jul 1, 1988",1095.52ml,£9615.4
"10, Dic, 1919",1133.23ml,GBP 7505.39
"29, Mar, 1976",975.66L,JPY 7917.4
"14, Abr, 1923",1270.76L,£8745.92
02-07-2019,620.88ml,$3380.47
"30, Sep, 1996",358.72L,£9714.24
12/15/2018,733.45L,€2209.55
06-09-2010,134.0ml,GBP 3247.12
1987-06-24,854.08ml,USD 645.7
"24, Jun, 2015",1027.95L,EUR 7047.47
"29, Abril, 1915",1397.28ml,USD 5187.9
"Jun 16, 1977",705.48ml,JPY 16.2
04/13/1931,720.31L,EUR 1524.59
07-02-1971,780.51L,$7078.28
"28, Marzo, 1985",658.39ml,JPY 5075.66
09-06-1985,522.52L,JPY 3484.2
12/06/1956,1680.33L,JPY 1936.17
2005-06-19,1886.68L,USD 349.12
11/30/2017,1607.74L,USD 3698.19
"Diciembre 28, 1933",59.84ml,$7696.64
17-11-1914,248.05ml,$6881.48
1952-10-05,1449.3ml,¥4370.61
2006-11-23,1341.81L,$7162.02
04/03/1957,442.12ml,JPY 8605.87
"Ago 29, 1913",1601.33L,$3034.22
1905-08-20,1298.83L,$1619.43
1945-07-11,1155.78ml,¥2919.76
12-03-2006,231.92ml,GBP 5692.6
"5, May, 1971",291.78ml,¥2398.43
11/31/1965,27.38ml,¥5570.68
02/23/1983,1699.88L,USD 3292.9
"15, Junio, 1967",637.88L,$833.12
"27, Enero, 1943",1148.94L,€1716.45
1980-03-08,430.83L,USD 8518.98
"Junio 18, 1923",1317.72ml,£1090.95
"15, May, 1926",856.86L,$3806.84
"Junio 20, 1934",408.2L,JPY 6.01
1965-09-21,1745.72ml,USD 5486.36
08/09/1967,451.7ml,JPY 7058.98
"Agosto 20, 1940",332.1ml,USD 981.87
"24, Mayo, 1980",690.78L,EUR 6925.58
"Octubre 27, 1951",1074.89L,GBP 7342.09
09-11-1926,488.7L,€6319.53
"Mar 14, 1952",1641.27ml,¥5763.49
25-12-1993,614.72ml,USD 1079.34
04/09/1916,1531.87ml,£855.98
09/12/1991,883.39ml,£3029.62
"26, Dic, 2010",1324.8L,USD 1961.66
20-12-1960,38.53ml,$4147.57
18-10-1942,1083.4L,$8622.79
05/22/1927,198.75ml,JPY 8385.7
1905-08-10,1978.44L,EUR 996.9
08/01/2007,606.18ml,¥1975.73
"31, Noviembre, 1994",137.45L,¥9277.02
1903-12-07,1909.18ml,€2190.56
01/06/2005,152.82ml,¥9945.66
"7, Mar, 1956",203.96ml,EUR 2501.25
12-04-2001,422.69ml,USD 3999.03
1988-07-12,1187.44ml,€7780.1
07/17/2004,963.15L,¥9547.7
18-02-1962,1258.1ml,JPY 2130.4
"Mar 3, 2003",524.74L,¥7744.09
08/27/1973,1601.69L,¥2868.04
"Jul 25, 1927",1312.06ml,$3592.5
2019-05-15,627.05ml,¥255.85
08-09-2019,1360.62ml,JPY 2528.57
27-09-1924,1884.1L,€4300.35
11-03-1959,84.94ml,¥9613.6
1965-08-20,631.44ml,GBP 6712.38
"17, Ago, 1904",1105.35L,JPY 482.32
"Octubre 20, 2014",277.77L,$9797.94
1915-01-29,840.87L,£1417.5
"Abril 7, 1988",1047.53ml,EUR 1133.32
"Nov 29, 1982",157.73ml,£2037.57
1960-11-26,509.35L,GBP 7976.22
20-05-1950,1864.81ml,$8907.89
"Enero 24, 2007",1190.05ml,USD 3996.77
"Nov 10, 1914",1884.06L,EUR 3994.14
21-02-1975,1569.31ml,€2251.54
05/26/1979,1574.24L,USD 9173.25
"30, Noviembre, 1939",1836.04ml,¥6970.43
"14, Dic, 1901",1140.25ml,€2197.98
"11, May, 2011",528.62ml,JPY 5299.78
1983-10-31,1218.08ml,USD 599.88
1989-04-02,1204.14L,USD 1731.9
"Ago 4, 1993",773.8L,£6343.77
1908-06-11,235.42ml,USD 5579.76
18-03-1995,169.41ml,USD 1280.26
"May 15, 1965",1069.41L,$445.93
1984-09-02,305.59L,EUR 318.63
11/23/1953,1829.37L,USD 4978.14
1916-02-30,1026.67L,£2145.7
2001-02-07,281.12L,€9503.46
2008-01-28,1093.38L,USD 8808.87
"Mayo 26, 1996",460.86ml,JPY 5166.48
"8, Ene, 1976",299.89ml,USD 299.78
1902-10-15,1144.98L,¥5801.35
"10, Abril, 1909",975.54L,EUR 292.27
"May 23, 1928",1969.67ml,EUR 3949.75
03/23/1937,1053.81L,¥9681.29
02/18/2020,1789.3L,¥8959.08
19-03-1997,796.01ml,USD 9700.61
31-05-1961,313.01ml,GBP 6243.97
1905-04-05,1309.68ml,€3389.61
07/20/2014,1953.26L,¥6637.78
"Marzo 15, 1901",1665.86L,JPY 6260.75
1930-07-24,504.51L,£7064.98
"8, Nov, 2019",845.35ml,USD 9313.98
"9, Jun, 1948",1692.34L,$6871.76
"May 10, 1954",1564.13ml,£6415.5
1970-02-08,198.27L,USD 4449.28
"3, Abril, 1908",953.98L,£186.48
22-09-2002,1738.52ml,GBP 4402.93
08/01/1906,1590.83ml,USD 6992.6
"27, Abr, 2011",1795.57ml,JPY 8808.1
"Julio 1, 1988",1134.9ml,€1602.27
"Abr 27, 1992",580.89ml,€9020.3
2010-11-15,298.95ml,€5853.32
03/07/1909,659.84ml,EUR 2628.12
29-12-1940,1062.5ml,$7080.26
12/30/1969,1795.1L,EUR 4632.19
14-04-2020,1920.14L,¥8788.69
07/23/1979,1141.0L,EUR 4171.21
"Julio 30, 2005",198.54L,€4747.28
02/23/1984,540.55L,$6595.28
"Junio 25, 2002",201.29ml,USD 5611.96
1903-08-24,511.19ml,JPY 7147.52
"Jun 31, 1972",1355.5ml,£590.78
27-10-1967,566.67ml,£7595.01
"Dic 27, 2019",1272.99L,USD 9738.15
"Ene 19, 1912",1624.74L,USD 7809.0
1994-08-02,1720.51L,¥354.75
"Diciembre 26, 1922",1877.1ml,JPY 5232.58
02/01/1965,1834.92ml,£6297.72
2006-09-13,1501.69L,£8379.47
04/04/1967,1127.63L,EUR 4320.01
08/26/1928,63.53ml,GBP 7594.72
"20, Feb, 1902",6.03ml,¥433.26
05-11-1958,271.32L,€3217.58
"20, Nov, 1924",350.56ml,¥3001.36
1981-08-29,999.67L,$2836.72
1994-04-14,430.83ml,$5965.07
"4, Sep, 1977",819.11L,€6419.44
27-11-1987,627.01ml,£351.59
05/11/1976,1794.17L,€3094.72
18-07-2006,1192.79L,EUR 4472.59
2002-11-31,1498.34L,USD 7191.92
08-10-1997,1278.26L,EUR 5324.72
10/11/1966,1082.32ml,USD 750.88
31-07-1920,1497.73L,JPY 8042.37
"26, Junio, 1946",357.42ml,€354.6
03-03-1971,1446.46L,GBP 7304.99
18-01-2020,204.08L,$1297.39
22-01-1997,432.67L,$3117.03
2018-05-13,58.63L,€7781.34
"8, Sep, 2025",1629.65L,€3134.47
1990-02-15,1394.66L,$5560.3
"17, Diciembre, 1999",1035.21ml,£2800.27
08/05/1932,638.61L,£4456.99
04-03-1952,837.26L,GBP 1829.76
14-09-1957,1357.34ml,£1640.05
"Abr 17, 2014",1829.34L,€4944.82
1995-02-26,1871.37L,$3901.35
07/15/1990,1317.83L,GBP 2984.55
1921-09-15,250.96ml,JPY 6705.42
"2, Julio, 1990",1803.44ml,€2574.72
1939-07-12,8.18L,JPY 5475.18
11/16/1948,1236.81ml,USD 7410.39
"16, Septiembre, 1978",1995.17L,JPY 2711.27
"22, Abril, 2020",53.97ml,¥2613.17
03-11-2005,582.88ml,¥3072.6
2007-03-05,1550.08L,USD 4085.66
"Mayo 9, 1951",745.9L,£4496.07
02/12/1995,357.76L,GBP 4423.16
12-02-2015,742.81L,$9404.06
"5, Noviembre, 1967",1481.34L,JPY 8924.84
1967-02-17,882.52ml,USD 3408.81
1986-05-24,1894.2ml,€988.44
2025-01-18,1943.88ml,£417.11
11/15/2001,651.06ml,£1188.88
1926-06-14,1720.75ml,GBP 5175.72
06/04/1901,624.54L,USD 1885.34
"Julio 21, 2020",1321.36L,$7263.77
"31, Mar, 2002",307.9ml,£109.28
06/19/1987,1783.51L,GBP 8209.15
02-07-1992,508.52ml,€7438.36
"Julio 11, 1985",1481.54L,JPY 4045.36
2017-06-07,1368.91ml,$5229.79
"Agosto 24, 1963",922.78L,£2342.8
09/16/2020,1066.09ml,EUR 5749.55
2018-04-09,1439.45L,GBP 5614.21
"Abr 15, 1984",510.41L,GBP 374.17
1913-12-27,1692.01L,$3384.07
"Dic 18, 2024",971.84ml,€6547.0
1901-08-31,1343.06L,USD 5607.81
30-05-1954,382.72ml,JPY 9034.39
"18, Mar, 1963",28.07ml,$5845.84
"28, Enero, 2024",495.53ml,€3214.78
"Feb 20, 2004",1558.35ml,€4508.25
1990-09-03,1968.11ml,EUR 2460.25
09/28/2016,1425.65ml,€4560.73
"Diciembre 9, 1921",1042.2ml,EUR 6676.9
"16, Septiembre, 1921",258.38ml,£3625.25
21-01-1932,589.75L,USD 555.99
1959-07-25,109.41ml,GBP 930.52
"26, Nov, 2009",1367.89L,GBP 3883.51
10-06-1977,1970.42L,JPY 74.08
"May 2, 1911",1810.03L,JPY 9788.26
09/30/1928,207.24ml,£126.88
2020-03-29,60.95ml,USD 5088.12
"23, Abril, 2013",1203.41ml,JPY 6918.58
28-02-1977,1472.44ml,£5577.41
1962-09-18,1676.73ml,JPY 4598.3
03/29/1937,1033.09L,EUR 8964.73
15-04-1905,321.66ml,$834.75
30-09-1991,1298.3L,JPY 1326.34
1980-10-26,1933.1L,EUR 3417.52
06/01/2022,158.7L,€6854.38
"1, Octubre, 1965",1318.84ml,JPY 9192.56
08/09/1986,1490.62L,USD 3260.24
04-01-1986,1011.96ml,$967.1
1991-08-21,725.28ml,JPY 7187.7
19-03-1906,683.08ml,GBP 3688.48
"Sep 29, 1976",1733.98ml,€725.69
1985-02-27,145.64L,€5578.48
12/11/1939,1066.5L,$7486.13
"Mar 19, 1930",1223.86ml,€2397.54
"1, Noviembre, 1974",1014.3ml,£4699.79
08/15/1962,824.54L,JPY 8429.98
"Nov 29, 2021",404.81ml,USD 4853.63
22-11-1916,241.16L,£9088.83
"Feb 1, 1968",1767.71L,GBP 912.67
"12, Sep, 1948",251.13L,€538.55
"Enero 29, 1951",670.17ml,€8470.38
13-08-1981,1504.38ml,€1255.3
07/08/1933,403.81L,¥8412.37
2010-02-13,447.45ml,EUR 6134.0
04-12-1938,1929.31L,¥5397.54
07/17/1949,1938.17L,GBP 3082.8
04/29/1969,1687.46L,GBP 1307.22
"May 22, 1994",956.47ml,€4668.98
11/23/1967,777.92L,¥1741.18
31-04-1957,243.39ml,JPY 6584.57
"26, Nov, 1919",346.08L,JPY 5069.15
"Oct 1, 1946",347.29ml,¥70.82
03/27/1911,1682.44L,GBP 6034.23
"6, Marzo, 1906",1251.69L,EUR 736.16
"Jul 31, 1927",392.31L,JPY 988.66
"31, Noviembre, 2005",1269.76ml,¥7375.35
1947-09-09,703.69L,GBP 1425.19
07/04/1975,1663.77ml,¥6311.99
"22, Oct, 1906",395.1L,EUR 2426.91
10/19/1952,1010.64L,EUR 3896.99
"Feb 10, 1936",1227.89L,¥6855.39
"23, Feb, 1987",909.54ml,JPY 394.9
05/18/2011,893.2L,GBP 9360.19
1945-06-10,456.91ml,$5757.4
"Sep 18, 1965",748.74L,USD 6530.56
03/24/1964,800.47L,JPY 3585.05
"29, Dic, 1955",1055.64ml,EUR 9389.54
"4, Nov, 1938",641.47ml,$763.5
07-09-1997,956.99L,USD 9832.74
05/29/2023,1756.1ml,€4368.78
02/19/1926,1727.09ml,GBP 1394.41
1938-06-12,64.19ml,£6912.82
1943-06-19,1169.7L,GBP 6882.18
"10, Nov, 2014",984.5ml,GBP 4537.38
06/18/1979,1373.1ml,JPY 933.03
"23, May, 1975",634.99ml,¥4108.36
"Feb 11, 1990",1264.17ml,GBP 3677.18
12-12-1956,1237.82L,$9938.72
07-04-2013,1412.76ml,$5749.97
"Sep 8, 1930",353.56ml,JPY 7041.46
"Ene 5, 1911",939.68L,USD 7204.1
09-10-2001,1998.22ml,GBP 3120.65
02/18/1950,760.18ml,GBP 5320.95
01-04-2002,903.49ml,¥4288.33
"Agosto 16, 1904",916.36ml,GBP 4372.15
"2, Diciembre, 1986",445.04L,GBP 8681.91
"Oct 16, 2023",141.35L,USD 9082.92
02/15/1988,1805.51L,€9344.13
03-02-2012,1290.12ml,EUR 2317.92
1910-05-24,1907.96L,¥1074.6
2007-08-05,1049.72ml,EUR 4908.7
1952-02-19,1509.71L,JPY 8285.27
"Feb 19, 1994",1804.75L,USD 2714.06
1964-11-25,772.34ml,€7585.47
"8, Oct, 1985",1434.11ml,£4697.61
"Feb 4, 1918",1241.52L,¥735.32
"Ago 26, 2009",735.08L,£6024.53
1900-03-14,305.54L,EUR 8887.45
29-08-1923,881.5ml,€3838.17
22-10-1964,1661.71L,EUR 8139.66
27-11-1962,1310.24L,GBP 2122.86
1967-05-22,380.81L,€8080.24
"Abr 3, 2006",663.64L,€1560.28
1994-06-09,606.46L,EUR 6742.9
07/15/1936,795.29ml,€707.04
"Ago 17, 1984",314.74ml,$3320.94
2003-08-01,1977.98L,$6106.07
2012-09-13,1954.94L,€4013.58
08/15/1910,62.07ml,€7913.5
1988-02-08,1991.99ml,£7160.65
1980-03-05,855.83ml,¥5476.33
22-03-1977,785.09L,$5721.23
27-09-1967,306.15L,€677.99
30-03-1953,1559.57L,¥3286.44
1931-10-31,1837.1L,EUR 9766.83
1944-09-11,127.62ml,GBP 7408.84
"18, Abril, 2007",1809.04L,GBP 419.9
"Sep 29, 1902",312.97ml,£9890.03
1932-02-25,663.57L,JPY 5684.53
08-10-2021,1148.62ml,JPY 3860.83
07/17/1907,681.76L,¥2907.62
12-04-2018,320.84L,€8895.39
2013-06-10,1492.15L,EUR 1517.27
"Sep 19, 1909",798.49ml,JPY 5762.19
"Sep 20, 1922",576.99ml,GBP 9170.26
"18, Noviembre, 1994",123.65L,¥350.87
06/24/2009,1564.31ml,USD 1195.41
"7, May, 1973",957.09L,USD 5864.72
"25, Jul, 2002",1168.91L,¥289.3
"Feb 24, 2019",1673.14ml,¥5755.08
"Oct 4, 1975",187.47L,€8736.84
2024-12-17,847.07ml,EUR 286.26
12/20/2006,198.41L,USD 8657.52
1958-01-24,1899.07ml,USD 3453.22
28-01-1916,908.38L,$9907.72
"Noviembre 3, 1928",1261.12ml,¥9683.05
"20, Abr, 1979",1087.19ml,£4205.01
1925-07-16,1614.14ml,GBP 9273.31
"Ago 15, 1943",1601.51L,EUR 4020.42
20-05-1926,207.63L,JPY 3109.69
05-11-1902,802.01L,GBP 6459.22
"Noviembre 20, 1977",1342.35L,EUR 3391.99
"22, Ago, 1944",1996.18ml,EUR 6933.87
30-04-1975,1741.13L,JPY 4266.87
02-07-1936,949.98L,$5149.47
08-12-1916,1172.78L,GBP 4412.97
"7, Dic, 1958",344.66L,USD 2424.38
2018-03-25,1097.47L,¥4406.5
"Marzo 19, 1993",545.23L,€7002.55
09/24/1947,62.82ml,USD 6299.54
1929-03-09,1617.33L,USD 2429.39
26-11-1925,381.91ml,JPY 5513.68
08/26/1963,982.36L,¥8631.59
27-01-2004,1702.42ml,JPY 4250.92
19-12-1936,436.83L,USD 5295.48
27-09-1936,6.56L,€4630.23
"31, Oct, 1903",854.38ml,¥9103.43
"Nov 28, 2004",1080.97ml,€2043.67
01/06/1971,136.97L,€6659.58
"30, Abr, 1969",1894.72ml,JPY 5624.57
25-01-1958,1175.29L,$2585.66
"Mar 26, 1976",1100.53ml,JPY 9256.01
1998-09-08,423.62ml,$6667.95
10/20/1952,1652.51L,EUR 6904.15
"4, Dic, 2020",20.15L,GBP 6207.61
"10, Febrero, 1921",1163.04L,€7071.98
10/11/1994,653.74ml,¥3077.53
1999-03-28,555.54L,$8185.23
10/30/1964,808.29L,£957.74
25-05-1920,940.07L,¥5458.79
"Abril 19, 1915",1819.4ml,JPY 2535.08
03-03-1916,1283.35L,£6688.5
2024-03-01,1027.44ml,USD 5266.06
2023-10-16,1002.87L,EUR 166.15
17-03-1930,1184.52ml,$5578.52
14-01-1938,746.34L,EUR 9308.94
08/07/1951,1584.33L,€578.56
1999-04-09,149.42L,EUR 7248.78
14-07-1937,4.43L,$3130.45
"Enero 14, 1908",36.16L,£7672.03
"Noviembre 30, 1905",455.98ml,EUR 3082.92
16-01-1953,346.84ml,USD 2611.63
25-06-2018,1088.77L,¥6911.35
1971-07-11,762.49ml,£5562.0
05/01/1901,1341.25L,USD 1240.11
"Ene 27, 2007",851.06ml,£5850.75
1939-12-24,23.51L,EUR 1847.54
"May 22, 2009",1775.57ml,£7157.95
04-01-1907,73.66L,USD 7947.09
"Enero 11, 1971",194.11L,JPY 7277.29
"21, Jul, 2013",603.88ml,$2163.3
1969-10-13,961.26ml,¥6207.64
07-04-1971,385.93ml,JPY 7502.66
2011-12-23,1477.47L,GBP 4658.55
"Sep 6, 1986",1804.32L,JPY 6047.07
1969-07-10,1411.38L,USD 5631.21
"Octubre 26, 1928",1591.18L,$5732.77
"1, Jun, 1966",1510.92L,JPY 445.27
1969-05-20,814.18L,$6369.31
1984-09-20,828.72ml,$7538.49
05-02-1972,680.39L,USD 9429.49
1954-07-21,821.42ml,£9468.41
"Octubre 10, 2002",1298.38L,$2178.54
12/29/1960,228.04L,£8347.73
"18, Sep, 1941",900.13ml,USD 6552.9
"15, Marzo, 1901",391.65L,€9218.78
1915-02-10,245.68L,JPY 456.25
1992-09-05,1581.42ml,JPY 6368.89
"May 16, 1984",1635.9L,JPY 985.49
21-08-1988,958.49L,JPY 438.34
"19, Septiembre, 1931",1120.42ml,£6215.91
1941-02-19,1498.15L,¥5215.73
19-08-2009,1674.52ml,GBP 4038.3
1944-10-19,1265.95ml,EUR 2277.71
"Jul 21, 1930",392.7ml,USD 9895.5
10/08/2014,303.94L,EUR 4793.41
"Enero 14, 1943",1367.94L,€491.21
03/01/1956,1302.92L,USD 1008.58
"28, Noviembre, 2023",1344.18ml,€4481.52
"Abril 21, 1964",928.5ml,€6189.73
"5, Enero, 1936",283.33ml,£1237.07
"Abril 12, 1917",1003.29ml,GBP 3913.81
1941-01-20,1852.67L,¥6800.5
"Mayo 20, 2015",429.47L,£6376.89
11/21/1995,434.99ml,£3402.86
11-09-2007,1604.5L,$997.81
1993-01-18,425.43L,USD 3011.5
20-06-1989,392.12ml,£8819.28
"16, Oct, 1997",83.5L,£2459.03
"Septiembre 19, 1908",185.67ml,€8794.48
"Julio 2, 1963",1010.3L,$4887.78
05/16/2012,126.38ml,USD 1238.41
"9, Julio, 1914",1086.06L,¥4603.64
"8, Jul, 1912",729.67L,EUR 7848.72
10-12-1966,1181.85ml,EUR 3648.36
2012-07-29,81.38L,GBP 6363.45
01/28/1951,1251.16ml,£4155.9
09-07-1974,1302.22ml,USD 2375.47
06-05-1974,255.64L,$8450.25
08/25/1999,357.09L,JPY 8009.13
06/31/1922,842.36ml,$327.28
08/08/1907,734.26ml,€6349.23
04-04-1971,644.3ml,¥3107.97
19-01-2009,486.79ml,¥4322.57
04/09/1970,1153.25L,£1826.74
04-07-1984,574.09L,£1212.14
01/19/1956,1460.34L,GBP 9573.61
"Septiembre 14, 1919",470.73L,€2082.42
2002-05-21,1482.55ml,GBP 2167.43
11/19/1904,428.12ml,USD 7463.78
1917-03-26,178.34ml,$4578.18
03/23/1984,239.63L,€7324.86
1972-07-02,68.25L,€5589.62
"28, May, 1943",867.39ml,GBP 6641.01
1901-01-09,453.47L,€5757.29
06-04-1928,1483.64ml,€5710.77
07/19/1944,56.51ml,£7146.76
1965-03-24,1005.61ml,GBP 8956.67
1930-07-15,204.43ml,¥4464.77
"Octubre 23, 1947",1754.12ml,£7506.31
10/25/2011,1418.92ml,GBP 906.77
07/30/1975,174.26ml,USD 4610.0
02-06-1966,45.2ml,GBP 4204.65
26-07-1916,637.11ml,$6396.7
2009-02-07,1673.68ml,USD 9519.45
22-05-2006,650.01ml,USD 8184.62
02/10/1986,1776.63ml,GBP 5078.72
"27, Abril, 1934",1772.64L,€9743.22
"29, Enero, 1941",1107.56ml,USD 1882.94
"31, Sep, 1946",436.62L,€2781.57
"Agosto 31, 1991",612.46ml,$9321.39
13-10-1929,1365.42L,USD 1264.75
"Mar 28, 1910",1978.24ml,£8988.1
"Enero 12, 1972",1819.01ml,GBP 3332.78
06/27/1946,1999.01L,GBP 1171.24
29-07-2002,1074.09ml,£5717.15
2024-08-05,1520.11ml,GBP 9456.36
1960-03-05,1354.54ml,USD 4948.5
"Agosto 16, 1945",232.33L,GBP 2509.77
1971-05-10,1932.84L,$804.06
"Dic 30, 1938",1315.0ml,JPY 8330.87
1963-04-24,55.97L,JPY 1840.4
"20, Septiembre, 1959",292.04L,JPY 8532.99
"13, May, 1988",323.04L,EUR 4891.97
"23, May, 1936",1631.34ml,USD 3877.09
27-10-1971,1293.65L,$9527.16
30-03-1964,111.85L,USD 4108.99
04/20/1943,414.76ml,¥4059.61
"17, Mar, 1908",1202.92L,GBP 1157.69
"3, Junio, 1967",919.79L,$7093.36
"Sep 16, 1942",1214.86L,£1504.06
1912-08-19,1212.3L,JPY 2408.21
27-09-1932,1996.41L,EUR 2016.1
2014-10-11,1098.28ml,¥406.34
17-04-1913,1649.99ml,$7831.34
"25, Feb, 1967",820.39ml,GBP 1649.21
02/14/1923,1552.11ml,EUR 3054.47
07/30/1987,490.25L,GBP 5255.93
07/07/1940,903.76L,GBP 4630.3
"Enero 8, 2020",302.76ml,USD 9786.84
"21, Abr, 1960",122.06L,€5422.16
28-02-1938,336.68ml,$6098.04
16-04-1923,1268.14L,$266.35
2023-09-01,1083.48L,USD 9626.79
"Noviembre 17, 1965",271.01ml,GBP 1089.09
01/23/1989,872.47L,¥4816.63
1989-02-22,1615.38L,EUR 4778.94
"May 29, 1914",1892.85ml,GBP 7962.34
"12, Julio, 1977",1184.68L,EUR 2704.53
01/09/1989,403.47L,£1293.38
"15, Agosto, 1929",722.0ml,€1721.21
12/18/1993,1907.59ml,¥6022.48
02/14/1967,1240.89ml,¥5025.16
04-04-1950,784.08ml,€8877.94
"26, Enero, 2001",645.86L,¥4847.18
